DateTime,TimeToResponse,ResponseTimes
2025-05-16 17:30:35,14.70506,1
2025-05-16 17:30:37,17.12342,2
2025-05-16 17:30:40,20.24072,3
2025-05-16 17:30:41,21.19392,4
2025-05-16 17:30:42,22.33199,5
